HTS cache mappings: 3992, targets: 340
[ok] uploads\11134\products\20250819100930c3cb8e10f.jpg (541335 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250819100930c3cb8.jpg?size=1600x0
[ok] uploads\11134\products\2025081910234161ce8e10f.jpg (568199 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/2025081910234161ce8.jpg?size=1600x0
[ok] uploads\11134\products\20250819104656e183be10f.jpg (530901 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250819104656e183b.jpg?size=1600x0
[ok] uploads\11134\products\202508191052257c529189f.jpg (89837 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/202508191052257c529.jpg?size=x0
[ok] uploads\11134\products\2025081913514237920189f.jpg (46747 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/2025081913514237920.jpg?size=x0
[ok] uploads\11134\products\20250819141207913b5150a.jpg (755639 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250819141207913b5.jpg?size=1800x0
[ok] uploads\11134\products\20250819141231347c3e10f.jpg (568199 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250819141231347c3.jpg?size=1600x0
[ok] uploads\11134\products\20250819142638cd50ce10f.jpg (480179 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250819142638cd50c.jpg?size=1600x0
[ok] uploads\11134\products\202508191610112e21a189f.jpg (449457 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/202508191610112e21a.jpg?size=x0
[ok] uploads\11134\products\2025082009135330265e10f.jpg (449457 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/2025082009135330265.jpg?size=1600x0
[ok] uploads\11134\products\20250820095022fb4d6e10f.jpg (524721 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250820095022fb4d6.jpg?size=1600x0
[ok] uploads\11134\products\202508200954459bccee10f.jpg (546142 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/202508200954459bcce.jpg?size=1600x0
[ok] uploads\11134\products\202508201005579e01ae10f.jpg (530901 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/202508201005579e01a.jpg?size=1600x0
[ok] uploads\11134\products\2025082010060887acde10f.jpg (541335 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/2025082010060887acd.jpg?size=1600x0
[ok] uploads\11134\products\20250820103742c85ac189f.jpg (449457 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/20250820103742c85ac.jpg?size=x0
[ok] uploads\11134\products\2025082014123602a27189f.jpg (449457 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/2025082014123602a27.jpg?size=x0
[ok] uploads\11134\products\202508201704545c4b8e10f.jpg (546142 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/products/202508201704545c4b8.jpg?size=1600x0
